id,name,street_address,town,postcode,join_date,status,acquisition_source,churn_date
3939,Jennifer Wilson,88 Queens Rd,Totland Bay,PO39 6NV,2025-03-14,Active,Organic,
3940,Linda Robinson,43 London Rd,Newport,PO30 3FY,2025-08-04,Active,Organic,
3941,Patricia Wright,14 Broadway,Newport,PO30 7NJ,2023-03-27,Active,Organic,
3942,Elizabeth Wright,85 Park Rd,Newport,PO30 5IV,2025-12-28,Active,Door-to-Door,
3943,James Williams,147 Church Rd,Newport,PO30 8NO,2024-10-06,Active,Organic,
3944,James Brown,114 Queens Rd,Totland Bay,PO39 4MJ,2024-11-08,Active,Organic,
3945,Patricia Davies,76 London Rd,Sandown,PO36 8BX,2025-08-04,Active,Organic,
3946,John Jones,128 London Rd,East Cowes,PO32 2SR,2024-10-20,Active,Google Search,
3947,William Wright,127 Tithe Barn,Seaview,PO34 8IU,2024-05-17,Active,Organic,
3948,Jennifer Brown,12 Arctic Rd,Ryde,PO33 5AV,2024-09-26,Active,Organic,
3949,James Johnson,69 Broadway,Shanklin,PO37 3GK,2026-01-15,Active,Organic,
3950,William Johnson,33 Arctic Rd,Cowes,PO31 1JD,2025-07-30,Active,Organic,
3951,Jennifer Wilson,14 York St,Newport,PO30 9RN,2024-05-05,Active,Organic,
3952,Michael Brown,1 High St,Totland Bay,PO39 7SK,2024-01-12,Active,Organic,
3953,Robert Smith,38 York St,Totland Bay,PO39 6IX,2025-12-19,Active,Google Search,
3954,John Wilson,99 York St,Seaview,PO34 5TW,2025-11-17,Active,Organic,
3955,Patricia Wright,137 York St,Sandown,PO36 2RA,2024-06-14,Active,Radio Ad,
3956,James Smith,95 London Rd,Newport,PO30 8QP,2023-02-05,Active,Organic,
3957,James Johnson,53 Tithe Barn,Newport,PO30 8FA,2023-08-26,Active,Organic,
3958,Patricia Davies,28 London Rd,Newport,PO30 9BZ,2023-06-03,Active,Door-to-Door,
3959,Linda Johnson,69 Church Rd,Cowes,PO31 1VD,2023-12-12,Active,Organic,
3960,Mary Wilson,18 Park Rd,Bembridge,PO35 4AE,2025-10-15,Active,Leaflets,
3961,Mary Smith,147 Broadway,Ryde,PO33 1MZ,2023-10-16,Active,Organic,
3962,Jennifer Jones,101 Broadway,Ryde,PO33 9GS,2024-01-14,Active,Organic,
3963,Michael Jones,82 Victoria Ave,Cowes,PO31 5RG,2023-07-01,Active,Organic,
3964,Michael Wright,126 Main Rd,Ventnor,PO38 8WT,2025-06-09,Active,Sponsorship,
3965,Jennifer Jones,57 Station Rd,Bembridge,PO35 8PL,2025-06-26,Active,Organic,
3966,Patricia Wilson,137 Park Rd,Ryde,PO33 2WK,2024-08-02,Active,Organic,
3967,Mary Brown,51 Church Rd,Newport,PO30 3RC,2024-11-11,Active,Sponsorship,
3968,William Wright,118 Main Rd,Seaview,PO34 7UV,2023-04-25,Active,Instagram Influencer,
3969,Michael Smith,20 York St,Newport,PO30 9BZ,2023-05-12,Active,Radio Ad,
3970,Patricia Brown,47 Broadway,Ryde,PO33 4UG,2023-06-11,Active,Organic,
3971,John Jones,122 Station Rd,Sandown,PO36 2CK,2023-11-16,Active,Leaflets,
3972,Robert Smith,2 Mill Hill Rd,Sandown,PO36 5IF,2024-07-27,Active,Organic,
3973,Mary Smith,52 York St,Newport,PO30 1VT,2023-11-15,Active,Leaflets,
3974,Mary Jones,76 Park Rd,Shanklin,PO37 3UX,2023-08-03,Active,Local Fair,
3975,James Jones,126 Main Rd,East Cowes,PO32 8HJ,2023-08-07,Active,Local Fair,
3976,Michael Smith,68 Main Rd,Bembridge,PO35 9AI,2024-12-23,Churned,Organic,2026-01-24
3977,Michael Williams,1 Mill Hill Rd,Sandown,PO36 9GR,2023-09-28,Active,Organic,
3978,Mary Jones,33 Queens Rd,Shanklin,PO37 9CD,2023-05-11,Active,Organic,
3979,John Jones,107 Station Rd,East Cowes,PO32 4WZ,2023-03-22,Active,Organic,
3980,Linda Davies,149 Station Rd,Cowes,PO31 8WX,2023-06-25,Active,Google Search,
3981,Jennifer Smith,22 Queens Rd,Ryde,PO33 5RE,2025-05-24,Active,Organic,
3982,James Taylor,97 Queens Rd,Newport,PO30 7VT,2026-02-18,Active,Organic,
3983,Jennifer Brown,4 High St,Ryde,PO33 7NL,2023-08-09,Active,Organic,
3984,Robert Wilson,115 Main Rd,Ventnor,PO38 5SL,2026-03-17,Active,Google Search,
3985,Robert Brown,108 Church Rd,East Cowes,PO32 9UH,2024-06-16,Active,Organic,
3986,Jennifer Smith,144 London Rd,Bembridge,PO35 1SM,2024-08-13,Active,Organic,
3987,Patricia Jones,82 Arctic Rd,Cowes,PO31 6XV,2025-11-11,Active,Google Search,
3988,Jennifer Robinson,89 York St,Cowes,PO31 1YO,2025-05-15,Active,Organic,
3989,Jennifer Johnson,57 Arctic Rd,Ryde,PO33 6DW,2026-04-03,Active,Google Search,
3990,Linda Johnson,84 Church Rd,Newport,PO30 4CD,2024-01-16,Active,Organic,
3991,Elizabeth Jones,124 High St,Newport,PO30 2MS,2025-03-09,Active,Billboards,
3992,James Robinson,61 Arctic Rd,Seaview,PO34 6LZ,2025-11-27,Active,Radio Ad,
3993,James Davies,97 Park Rd,Cowes,PO31 5GR,2024-07-22,Active,Organic,
3994,Patricia Williams,27 Queens Rd,Sandown,PO36 1KY,2024-12-01,Active,Organic,
3995,John Wilson,32 Queens Rd,Totland Bay,PO39 8TI,2023-08-25,Churned,Organic,2024-09-01
3996,Patricia Robinson,91 Mill Hill Rd,Cowes,PO31 9YV,2025-03-24,Active,Organic,
3997,Patricia Wright,67 High St,Cowes,PO31 5PU,2024-12-21,Active,Organic,
3998,Robert Wilson,50 Victoria Ave,Ryde,PO33 1VF,2024-01-06,Churned,Organic,2024-06-08
3999,Michael Brown,122 London Rd,Ryde,PO33 1RP,2025-11-22,Active,Radio Ad,
4000,Mary Williams,87 Victoria Ave,Cowes,PO31 3ZQ,2025-02-20,Active,Leaflets,
4001,John Smith,92 Station Rd,Cowes,PO31 7BJ,2024-04-23,Active,Organic,
4002,Robert Taylor,23 York St,Sandown,PO36 6FH,2023-04-29,Churned,Instagram Influencer,2024-04-28
4003,Elizabeth Davies,8 Victoria Ave,Cowes,PO31 1YC,2024-12-28,Active,Organic,
4004,Robert Smith,83 Park Rd,East Cowes,PO32 6JV,2025-04-09,Active,Organic,
4005,Elizabeth Taylor,80 High St,Seaview,PO34 5CM,2025-11-20,Active,Google Search,
4006,Jennifer Davies,76 Park Rd,Ryde,PO33 1VY,2023-11-08,Active,Sponsorship,
4007,Jennifer Davies,56 Mill Hill Rd,Ryde,PO33 1SQ,2025-12-08,Active,Google Search,
4008,Elizabeth Wright,16 Broadway,Newport,PO30 7ZN,2023-07-10,Active,Organic,
4009,Linda Davies,117 Broadway,Newport,PO30 9LV,2026-01-16,Active,Organic,
4010,Robert Robinson,59 High St,Ventnor,PO38 6KM,2024-12-18,Active,Organic,
4011,Michael Brown,75 High St,East Cowes,PO32 3KD,2023-07-23,Active,Organic,
4012,Michael Smith,64 High St,Ryde,PO33 5IP,2023-07-31,Active,Leaflets,
4013,Mary Brown,28 Broadway,Newport,PO30 6KX,2025-03-30,Active,Organic,
4014,Patricia Johnson,46 Queens Rd,Ryde,PO33 4DY,2024-06-15,Active,Organic,
4015,John Brown,132 Church Rd,Bembridge,PO35 7NR,2023-10-16,Active,Radio Ad,
4016,Patricia Wright,119 Station Rd,Newport,PO30 8NX,2024-04-26,Churned,Facebook Ads,2024-12-05
4017,James Williams,108 Church Rd,Newport,PO30 1CT,2023-12-01,Active,Instagram Influencer,
4018,James Taylor,4 Broadway,Sandown,PO36 7TM,2024-05-30,Churned,Organic,2025-09-07
4019,Robert Taylor,72 Arctic Rd,Newport,PO30 9AR,2025-11-13,Active,Google Search,
4020,Linda Taylor,55 High St,Seaview,PO34 1FY,2025-08-11,Active,Organic,
4021,Mary Smith,10 Queens Rd,East Cowes,PO32 1XU,2026-02-25,Active,Organic,
4022,Linda Jones,115 Victoria Ave,Shanklin,PO37 8FQ,2024-05-07,Active,Organic,
4023,John Robinson,89 Mill Hill Rd,East Cowes,PO32 5SQ,2025-05-23,Active,Organic,
4024,Robert Taylor,8 Broadway,Sandown,PO36 3NW,2023-07-26,Active,Organic,
4025,Robert Wilson,63 Queens Rd,Sandown,PO36 4FF,2026-04-04,Active,Google Search,
4026,William Brown,59 Arctic Rd,Freshwater,PO40 4FL,2024-12-27,Churned,Organic,2026-01-08
4027,Linda Wright,63 Station Rd,Ryde,PO33 2JJ,2024-03-11,Active,Organic,
4028,Elizabeth Robinson,15 Church Rd,Ryde,PO33 7WH,2025-10-27,Active,Organic,
4029,Elizabeth Brown,131 Station Rd,Sandown,PO36 9RN,2024-10-08,Active,Organic,
4030,Michael Robinson,67 Broadway,East Cowes,PO32 5FV,2023-11-21,Churned,Organic,2025-05-30
4031,Patricia Johnson,108 London Rd,Cowes,PO31 6CN,2025-04-28,Active,Organic,
4032,Michael Jones,104 Broadway,Sandown,PO36 3OQ,2025-05-22,Active,Organic,
4033,Robert Davies,143 Tithe Barn,Ryde,PO33 9AO,2024-01-23,Active,Organic,
4034,Linda Johnson,135 York St,Ryde,PO33 6LP,2026-01-21,Active,Organic,
4035,William Smith,46 High St,Ryde,PO33 9WN,2023-09-30,Active,Google Search,
4036,Michael Wilson,74 Victoria Ave,Ryde,PO33 8NF,2025-06-28,Churned,Door-to-Door,2025-10-08
4037,William Robinson,149 York St,Seaview,PO34 3SY,2024-12-17,Active,Instagram Influencer,
4038,Linda Jones,5 Tithe Barn,Yarmouth,PO41 6DO,2025-04-17,Active,Organic,
4039,Michael Johnson,29 Broadway,Ryde,PO33 8FH,2025-01-27,Active,Google Search,
4040,William Robinson,94 High St,Shanklin,PO37 5KG,2025-06-03,Active,Organic,
4041,Jennifer Brown,124 Church Rd,Cowes,PO31 9LT,2023-03-31,Active,Organic,
4042,William Davies,59 Main Rd,Ryde,PO33 8NG,2025-11-16,Active,Google Search,
4043,Patricia Davies,20 Main Rd,Sandown,PO36 1WE,2023-02-20,Active,Organic,
4044,Michael Jones,19 Main Rd,Newport,PO30 1OE,2026-03-08,Active,Google Search,
4045,William Wright,98 Mill Hill Rd,Shanklin,PO37 1LR,2025-03-19,Active,Organic,
4046,Patricia Williams,90 Park Rd,Ryde,PO33 7PY,2023-02-02,Active,Door-to-Door,
4047,Mary Wright,143 Victoria Ave,Newport,PO30 8VY,2025-02-17,Active,Organic,
4048,James Wright,63 Main Rd,Sandown,PO36 5EM,2024-07-23,Active,Organic,
4049,Mary Robinson,73 York St,Newport,PO30 9MB,2025-07-26,Active,Instagram Influencer,
4050,Patricia Wilson,132 High St,Totland Bay,PO39 9UH,2023-02-15,Churned,Organic,2024-02-03
4051,Jennifer Brown,41 Church Rd,Newport,PO30 5NW,2023-02-01,Active,Door-to-Door,
4052,John Wright,1 London Rd,Ryde,PO33 5DT,2025-08-04,Active,Radio Ad,
4053,William Wright,96 Station Rd,Sandown,PO36 3DY,2023-05-30,Churned,Sponsorship,2024-04-06
4054,James Johnson,137 Park Rd,Sandown,PO36 5VW,2024-11-12,Active,Organic,
4055,Michael Jones,53 Main Rd,Shanklin,PO37 9KL,2025-08-24,Active,Billboards,
4056,Mary Wright,107 Arctic Rd,Newport,PO30 4UP,2023-09-25,Active,Google Search,
4057,Linda Taylor,43 London Rd,Shanklin,PO37 9LU,2025-01-17,Active,Organic,
4058,William Jones,21 Station Rd,Ryde,PO33 4IY,2026-04-12,Active,Organic,
4059,William Jones,65 Station Rd,Cowes,PO31 6UH,2023-02-13,Churned,Organic,2024-08-02
4060,Linda Williams,108 Mill Hill Rd,Totland Bay,PO39 7VN,2023-03-01,Churned,Door-to-Door,2023-12-31
4061,Mary Wright,146 High St,Newport,PO30 2DM,2024-06-19,Active,Organic,
4062,William Robinson,43 Queens Rd,Ryde,PO33 8MF,2024-09-07,Active,Local Fair,
4063,Robert Smith,22 London Rd,Ryde,PO33 7KT,2026-01-03,Active,Organic,
4064,William Johnson,137 High St,Seaview,PO34 6EX,2025-11-30,Active,Organic,
4065,Michael Brown,142 Tithe Barn,Sandown,PO36 7TQ,2024-09-19,Churned,Organic,2025-01-05
4066,John Robinson,51 Station Rd,Shanklin,PO37 9GU,2025-04-17,Active,Sponsorship,
4067,John Johnson,118 Victoria Ave,Ryde,PO33 1KB,2025-06-02,Active,Organic,
4068,Mary Robinson,88 Mill Hill Rd,Newport,PO30 5WL,2026-03-11,Active,Google Search,
4069,James Taylor,129 High St,Sandown,PO36 8GO,2024-06-02,Active,Organic,
4070,Robert Taylor,141 Church Rd,Shanklin,PO37 7GA,2024-09-29,Active,Organic,
4071,John Brown,121 High St,Newport,PO30 7OK,2025-09-01,Active,Billboards,
4072,Patricia Jones,118 London Rd,Ventnor,PO38 8JC,2023-06-20,Churned,Local Fair,2024-03-31
4073,Jennifer Brown,24 London Rd,Newport,PO30 7NJ,2023-01-15,Active,Sponsorship,
4074,Jennifer Johnson,38 Broadway,Ventnor,PO38 9ED,2026-01-31,Active,Leaflets,
4075,Linda Wilson,142 Broadway,Ryde,PO33 6LW,2023-11-22,Active,Instagram Influencer,
4076,Linda Jones,141 High St,Ryde,PO33 2ZF,2024-09-16,Active,Organic,
4077,Michael Davies,142 Park Rd,Bembridge,PO35 7YH,2024-02-09,Active,Sponsorship,
4078,James Wright,22 Tithe Barn,Newport,PO30 5YC,2023-11-30,Active,Instagram Influencer,
4079,Linda Williams,117 London Rd,Bembridge,PO35 9BQ,2024-02-24,Active,Organic,
4080,Robert Johnson,42 York St,Bembridge,PO35 7UE,2024-04-29,Active,Facebook Ads,
4081,Michael Jones,58 Victoria Ave,East Cowes,PO32 9GK,2024-11-21,Churned,Organic,2025-09-22
4082,Elizabeth Taylor,25 Arctic Rd,Shanklin,PO37 3GK,2024-01-06,Active,Organic,
4083,Patricia Williams,108 Broadway,Newport,PO30 4WU,2024-10-08,Churned,Organic,2025-01-18
4084,William Williams,92 Church Rd,Cowes,PO31 2PM,2023-05-19,Active,Organic,
4085,Michael Taylor,62 London Rd,Sandown,PO36 1CA,2025-07-23,Active,Door-to-Door,
4086,Mary Robinson,126 Tithe Barn,Ventnor,PO38 4AC,2024-08-26,Active,Organic,
4087,Linda Wilson,74 Broadway,Cowes,PO31 1SC,2024-12-23,Churned,Organic,2025-11-18
4088,Michael Robinson,63 Park Rd,East Cowes,PO32 8GO,2024-09-16,Churned,Local Fair,2025-07-28
4089,James Williams,64 Station Rd,Ryde,PO33 5DT,2023-07-24,Active,Organic,
4090,Elizabeth Smith,135 Church Rd,Newport,PO30 9RP,2023-12-15,Active,Organic,
4091,Elizabeth Brown,136 Arctic Rd,Sandown,PO36 8PW,2023-04-08,Active,Instagram Influencer,
4092,Robert Williams,100 Main Rd,Sandown,PO36 2ZT,2023-03-01,Active,Door-to-Door,
4093,John Jones,34 York St,Ryde,PO33 7VN,2025-06-16,Active,Door-to-Door,
4094,Jennifer Smith,58 High St,Ryde,PO33 4JC,2025-03-15,Active,Radio Ad,
4095,Michael Taylor,149 Queens Rd,East Cowes,PO32 7MJ,2024-10-04,Active,Organic,
4096,James Taylor,131 Tithe Barn,Cowes,PO31 1SD,2024-12-07,Active,Local Fair,
4097,James Wilson,146 London Rd,Shanklin,PO37 8ON,2024-09-14,Active,Local Fair,
4098,James Wright,85 Victoria Ave,Seaview,PO34 2DU,2024-12-05,Active,Billboards,
4099,Linda Brown,115 London Rd,Cowes,PO31 7NZ,2024-08-18,Active,Organic,
4100,Elizabeth Brown,85 Church Rd,Newport,PO30 3XF,2026-02-07,Active,Facebook Ads,
4101,Mary Wilson,119 Victoria Ave,Sandown,PO36 1PQ,2023-07-22,Active,Organic,
4102,John Wilson,81 Broadway,Newport,PO30 7TJ,2024-01-28,Active,Sponsorship,
4103,Jennifer Wright,113 York St,Ventnor,PO38 9CT,2025-07-03,Active,Organic,
4104,John Jones,96 Broadway,Ryde,PO33 9UC,2025-05-24,Active,Organic,
4105,Patricia Jones,32 Park Rd,Shanklin,PO37 5KG,2025-05-16,Active,Facebook Ads,
4106,Mary Robinson,137 Arctic Rd,Ventnor,PO38 1MW,2023-05-24,Active,Local Fair,
4107,Michael Johnson,29 Broadway,Ryde,PO33 4IY,2025-12-03,Active,Google Search,
4108,Mary Williams,46 Main Rd,Ryde,PO33 8MF,2023-03-26,Active,Sponsorship,
4109,Jennifer Wright,107 Park Rd,Cowes,PO31 8DD,2023-09-17,Churned,Google Search,2024-10-24
4110,Elizabeth Robinson,33 London Rd,Cowes,PO31 7PR,2024-02-26,Active,Organic,
4111,Linda Robinson,89 Broadway,Seaview,PO34 8WP,2024-09-15,Churned,Organic,2025-10-27
4112,Jennifer Williams,91 Park Rd,Newport,PO30 6KX,2023-10-27,Active,Facebook Ads,
4113,Jennifer Taylor,40 High St,Sandown,PO36 7BW,2023-01-13,Churned,Organic,2023-07-06
4114,Michael Smith,122 Mill Hill Rd,Cowes,PO31 9YV,2024-01-08,Active,Organic,
4115,Patricia Jones,138 Tithe Barn,East Cowes,PO32 1UJ,2025-07-21,Active,Instagram Influencer,
4116,James Williams,80 Station Rd,Newport,PO30 8NO,2024-11-16,Active,Organic,
4117,Jennifer Johnson,70 Broadway,Seaview,PO34 6IS,2023-08-12,Active,Local Fair,
4118,James Davies,19 Victoria Ave,Newport,PO30 1CV,2024-10-04,Active,Organic,
4119,Patricia Wright,116 Queens Rd,East Cowes,PO32 3WI,2024-08-03,Active,Door-to-Door,
4120,Linda Johnson,87 Station Rd,East Cowes,PO32 5GH,2023-12-16,Active,Organic,
4121,William Taylor,55 High St,Ryde,PO33 8JM,2024-05-24,Active,Organic,
4122,Linda Brown,52 Church Rd,Newport,PO30 7OM,2023-02-10,Active,Organic,
4123,William Wilson,110 Park Rd,Cowes,PO31 6YA,2025-09-21,Active,Google Search,
4124,Patricia Brown,132 Victoria Ave,Sandown,PO36 7FI,2023-05-31,Churned,Local Fair,2024-12-05
4125,Linda Wilson,71 Tithe Barn,Newport,PO30 1HS,2024-04-13,Active,Organic,
4126,Jennifer Smith,45 London Rd,Sandown,PO36 6FH,2023-09-06,Active,Organic,
4127,James Johnson,56 Tithe Barn,Sandown,PO36 4AT,2026-01-28,Active,Organic,
4128,Robert Davies,13 Mill Hill Rd,Cowes,PO31 7FV,2024-12-06,Active,Local Fair,
4129,William Wright,123 Station Rd,East Cowes,PO32 3LG,2025-07-20,Active,Door-to-Door,
4130,James Wilson,98 London Rd,Ryde,PO33 4DY,2023-11-24,Active,Google Search,
4131,Michael Williams,145 Park Rd,Newport,PO30 9VR,2024-01-27,Active,Instagram Influencer,
4132,Mary Jones,109 York St,Newport,PO30 6LB,2023-02-09,Active,Radio Ad,
4133,James Wright,149 Main Rd,Cowes,PO31 5CL,2023-04-30,Active,Organic,
4134,Robert Taylor,22 Arctic Rd,Newport,PO30 7GL,2024-02-01,Active,Sponsorship,
4135,Mary Johnson,21 Victoria Ave,Ryde,PO33 7NK,2023-03-23,Active,Organic,
4136,Elizabeth Brown,118 Station Rd,Ryde,PO33 2ZF,2023-08-15,Active,Door-to-Door,
4137,Elizabeth Brown,123 High St,Ryde,PO33 6VT,2023-05-14,Active,Google Search,
4138,Elizabeth Taylor,145 High St,Newport,PO30 7VV,2025-09-15,Active,Organic,
4139,Jennifer Brown,123 Tithe Barn,Newport,PO30 6IW,2025-08-11,Active,Organic,
4140,Elizabeth Smith,6 Main Rd,Freshwater,PO40 7RI,2026-03-29,Active,Organic,
4141,Mary Robinson,42 High St,Shanklin,PO37 1DX,2024-03-09,Active,Local Fair,
4142,William Johnson,50 London Rd,Totland Bay,PO39 8AK,2025-11-09,Active,Radio Ad,
4143,Michael Wilson,99 London Rd,Ryde,PO33 4WP,2025-01-16,Active,Organic,
4144,Robert Robinson,55 Broadway,Ryde,PO33 3AI,2025-02-17,Active,Organic,
4145,Jennifer Brown,10 Main Rd,Ryde,PO33 7NL,2023-02-28,Active,Organic,
4146,Elizabeth Johnson,103 Main Rd,Newport,PO30 6QF,2023-11-20,Active,Google Search,
4147,Elizabeth Davies,35 High St,Bembridge,PO35 4XD,2023-10-31,Active,Organic,
4148,Mary Wilson,37 Victoria Ave,Newport,PO30 7DU,2025-09-29,Active,Organic,
4149,Elizabeth Davies,136 Park Rd,Cowes,PO31 2CY,2024-11-08,Active,Organic,
4150,William Wright,131 Main Rd,Ryde,PO33 1PY,2025-10-04,Active,Organic,
4151,Jennifer Brown,20 Victoria Ave,Newport,PO30 4HL,2025-05-11,Active,Organic,
4152,Michael Williams,88 High St,Cowes,PO31 6XY,2026-04-11,Active,Organic,
4153,Robert Taylor,43 Arctic Rd,Newport,PO30 7ZN,2025-06-10,Active,Door-to-Door,
4154,Michael Robinson,72 Station Rd,Newport,PO30 9MD,2023-08-07,Active,Local Fair,
4155,John Wilson,3 Tithe Barn,East Cowes,PO32 2ZI,2025-03-02,Active,Organic,
4156,John Johnson,103 High St,Cowes,PO31 7NZ,2023-03-29,Churned,Radio Ad,2024-04-08
4157,Jennifer Robinson,72 Mill Hill Rd,Ryde,PO33 9EX,2025-08-23,Active,Billboards,
4158,Elizabeth Taylor,35 Queens Rd,Newport,PO30 6ZD,2023-09-04,Churned,Organic,2024-02-24
4159,Mary Wright,150 Main Rd,Cowes,PO31 5XD,2024-12-27,Active,Organic,
4160,John Taylor,97 Victoria Ave,Newport,PO30 8GL,2025-10-26,Active,Organic,
4161,Robert Davies,22 Broadway,Cowes,PO31 6RQ,2023-02-14,Active,Organic,
4162,William Johnson,30 Church Rd,Seaview,PO34 4VX,2025-10-25,Active,Leaflets,
4163,Linda Smith,112 Arctic Rd,Shanklin,PO37 7AY,2025-03-18,Active,Organic,
4164,Linda Wilson,50 York St,Shanklin,PO37 5RO,2026-01-02,Active,Organic,
4165,Patricia Taylor,87 Station Rd,Seaview,PO34 7PY,2023-07-23,Active,Organic,
4166,Patricia Wright,133 Victoria Ave,Newport,PO30 7WC,2023-02-21,Active,Organic,
4167,John Robinson,52 Mill Hill Rd,East Cowes,PO32 8ZW,2025-12-21,Active,Organic,
4168,Robert Wright,88 Main Rd,Newport,PO30 3XB,2023-09-12,Active,Google Search,
4169,James Taylor,85 Tithe Barn,Newport,PO30 7LP,2023-04-04,Active,Radio Ad,
4170,Elizabeth Robinson,143 Queens Rd,Newport,PO30 4MX,2025-10-20,Active,Leaflets,
4171,Patricia Johnson,12 High St,Bembridge,PO35 5GL,2025-05-04,Active,Radio Ad,
4172,Robert Johnson,108 Station Rd,Newport,PO30 9OP,2023-05-12,Active,Radio Ad,
4173,Patricia Wright,89 Arctic Rd,Sandown,PO36 8WP,2024-01-13,Active,Organic,
4174,John Jones,56 Church Rd,Sandown,PO36 8TF,2025-12-14,Active,Google Search,
4175,Michael Johnson,69 Queens Rd,Newport,PO30 3YS,2023-06-28,Active,Organic,
4176,William Robinson,24 Station Rd,Seaview,PO34 2MZ,2023-12-05,Active,Organic,
4177,James Williams,75 Main Rd,Sandown,PO36 3EU,2026-03-21,Active,Organic,
4178,Michael Brown,53 Victoria Ave,Shanklin,PO37 9JF,2024-11-30,Active,Organic,
4179,Mary Smith,74 Park Rd,Sandown,PO36 9GR,2023-08-08,Active,Door-to-Door,
4180,Mary Wright,57 Church Rd,East Cowes,PO32 1SF,2023-12-08,Active,Organic,
4181,John Williams,100 Station Rd,Shanklin,PO37 3LU,2025-01-26,Active,Google Search,
4182,Jennifer Jones,49 York St,Ryde,PO33 7OR,2024-02-06,Active,Organic,
4183,Jennifer Williams,68 Tithe Barn,Ryde,PO33 5WE,2026-03-27,Active,Google Search,
4184,Mary Wright,145 Main Rd,Ryde,PO33 1RP,2023-12-08,Active,Organic,
4185,Linda Robinson,91 Broadway,Ventnor,PO38 6GL,2023-02-27,Active,Organic,
4186,Jennifer Smith,124 Church Rd,Sandown,PO36 4MF,2025-09-13,Active,Organic,
4187,Robert Wilson,114 Park Rd,Newport,PO30 9DF,2025-04-08,Active,Door-to-Door,
4188,James Davies,98 Tithe Barn,Cowes,PO31 3NO,2023-04-22,Active,Instagram Influencer,
4189,Michael Taylor,74 High St,Ryde,PO33 8BA,2023-03-13,Active,Organic,
4190,William Brown,62 Church Rd,Bembridge,PO35 3DF,2024-12-20,Active,Organic,
4191,James Davies,94 Station Rd,Newport,PO30 4TC,2024-05-29,Active,Instagram Influencer,
4192,Linda Wilson,81 Station Rd,Newport,PO30 3MQ,2023-01-02,Active,Organic,
4193,John Wright,80 Broadway,Newport,PO30 1WO,2024-08-08,Active,Organic,
4194,Patricia Wright,131 Church Rd,Cowes,PO31 6QH,2024-11-08,Active,Organic,
4195,Michael Brown,33 Station Rd,Ryde,PO33 3QX,2024-01-26,Active,Instagram Influencer,
4196,Robert Jones,130 High St,Newport,PO30 3IH,2025-01-12,Active,Organic,
4197,James Jones,81 High St,East Cowes,PO32 8HJ,2024-12-17,Active,Local Fair,
4198,Michael Smith,21 London Rd,Ryde,PO33 1ZT,2023-07-21,Active,Organic,
4199,Mary Smith,116 London Rd,Ryde,PO33 7SI,2024-01-24,Active,Organic,
4200,Michael Williams,143 York St,Newport,PO30 4YN,2023-05-22,Active,Radio Ad,
4201,Linda Johnson,85 London Rd,Ryde,PO33 3QX,2024-08-29,Active,Organic,
4202,Elizabeth Davies,130 Mill Hill Rd,Ryde,PO33 3PJ,2023-08-09,Active,Organic,
4203,James Johnson,150 Main Rd,East Cowes,PO32 3JA,2023-03-14,Churned,Organic,2023-11-28
4204,Michael Wright,28 Main Rd,Newport,PO30 6KX,2025-01-10,Active,Organic,
4205,James Wilson,14 Broadway,Bembridge,PO35 5RQ,2023-04-17,Active,Instagram Influencer,
4206,Michael Robinson,34 Main Rd,Shanklin,PO37 8ZJ,2025-05-30,Active,Organic,
4207,Jennifer Taylor,144 Main Rd,Newport,PO30 6HT,2024-10-23,Active,Google Search,
4208,Linda Taylor,125 Victoria Ave,Ryde,PO33 3XK,2024-04-04,Active,Organic,
4209,John Williams,36 Church Rd,Newport,PO30 1HQ,2024-06-14,Active,Organic,
4210,Jennifer Davies,90 High St,Newport,PO30 8TB,2025-05-31,Active,Organic,
4211,Linda Brown,6 Tithe Barn,Ryde,PO33 2WK,2024-04-28,Active,Organic,
4212,Michael Taylor,32 Broadway,Cowes,PO31 6XY,2025-09-01,Active,Door-to-Door,
4213,Linda Wilson,29 York St,Bembridge,PO35 8IJ,2024-11-24,Active,Organic,
4214,James Wright,52 Tithe Barn,Newport,PO30 2PH,2023-07-28,Active,Organic,
4215,William Williams,72 York St,Cowes,PO31 6JJ,2025-07-07,Active,Organic,
4216,Elizabeth Brown,92 Tithe Barn,Freshwater,PO40 2LS,2024-10-04,Active,Organic,
4217,Jennifer Wilson,93 Queens Rd,East Cowes,PO32 6PA,2026-03-10,Active,Google Search,
4218,James Smith,3 Victoria Ave,Sandown,PO36 4MF,2025-03-11,Active,Organic,
4219,Mary Williams,11 Tithe Barn,East Cowes,PO32 8HH,2024-10-28,Active,Google Search,
4220,William Taylor,79 York St,East Cowes,PO32 8RA,2026-02-22,Active,Facebook Ads,
4221,Linda Williams,96 Park Rd,Sandown,PO36 8WC,2025-07-15,Active,Organic,
4222,Patricia Taylor,57 Arctic Rd,East Cowes,PO32 3IB,2025-04-08,Active,Organic,
4223,Patricia Wright,102 Tithe Barn,Newport,PO30 1DZ,2025-03-31,Active,Facebook Ads,
4224,Jennifer Johnson,8 Broadway,Ryde,PO33 1NE,2023-06-14,Active,Sponsorship,
4225,John Smith,40 Park Rd,Cowes,PO31 9ET,2024-10-19,Active,Google Search,
4226,Michael Wilson,53 London Rd,Newport,PO30 8NO,2023-09-19,Active,Google Search,
4227,Elizabeth Wilson,67 Church Rd,Shanklin,PO37 6DH,2024-01-27,Churned,Organic,2025-06-17
